Project,Loss,Accuracy,F1,Auc
accumulo,0.5690590526865816,69.94252873563218,0.46372048776269137,0.6062436667897947
ambari,0.571225086847941,69.75151515151515,0.5449418705535312,0.608180209168599
atlas,0.5708842023474271,69.79781420765028,0.5470213563132259,0.6319011817610919
aurora,0.5704096542537541,69.81767955801105,0.5773420479302833,0.6042202252757597
batik,0.5702651352672786,69.86813186813187,0.5610056018581773,0.6552061347238891
cocoon,0.5748484692821613,69.35260115606937,0.5349225268176401,0.6528349757721015
commons-bcel,0.5747340566971723,69.42245989304813,0.254180602006689,0.5532300332847176
commons-beanutils,0.5735177905001538,69.51063829787235,0.5642317380352644,0.6824010954853953
commons-cli,0.5752189780669238,69.39153439153439,0.4059701492537313,0.5965174187720338
commons-codec,0.5747490260690291,69.46524064171123,0.36179981634527086,0.5941944982162591
commons-collections,0.57681778773584,69.16939890710383,0.47014361300075586,0.6367721322068784
commons-configuration,0.5757335633844942,69.28648648648648,0.5155925155925156,0.6546944155790914
commons-daemon,0.572836941827542,69.53968253968254,0.46153846153846156,0.6560283687943261
commons-dbcp,0.5717377537681211,69.7741935483871,0.29629629629629634,0.5750436836064015
commons-dbutils,0.5753446120433706,69.35449735449735,0.38775510204081637,0.6322378716744913
commons-digester,0.5746579361471901,69.42780748663101,0.5165562913907286,0.6873552615918249
commons-exec,0.5725345037601612,69.6984126984127,0.3202247191011236,0.5876123549599608
commons-fileupload,0.5729049721722881,69.68783068783068,0.5839416058394161,0.7116770736971939
commons-io,0.5753309396646356,69.37096774193549,0.40749148694665155,0.6144991931900563
commons-jelly,0.575782005480904,69.475935828877,0.5841053144807411,0.7189993824014068
commons-jexl,0.5747228803481648,69.45989304812834,0.37440191387559807,0.5820195680453738
commons-jxpath,0.5737365780684053,69.47619047619048,0.5308176100628931,0.6393238129455336
commons-net,0.5745213159265365,69.40641711229947,0.4206955046649703,0.6332080836803087
commons-ognl,0.5724211770390707,69.65079365079364,0.2905405405405405,0.5811390226019318
commons-validator,0.5753881113326296,69.25531914893617,0.47980416156670747,0.6474192443073856
commons-vfs,0.5749213794867197,69.43548387096774,0.5884365378036264,0.6842859698555391
felix,0.570089819560568,69.8012048192771,0.5082139112198533,0.6178022755379993
httpcomponents-client,0.5740565390876644,69.50276243093923,0.3491541353383458,0.5656872825158359
httpcomponents-core,0.5733065745018048,69.62569832402235,0.32766302146618065,0.5677571106888786
mina-sshd,0.5743152421453724,69.41847826086956,0.5018741369106332,0.6224132340671151
santuario-java,0.5715858014854225,69.67027027027027,0.4429195258889583,0.6097952297183558
zookeeper,0.5732513772474753,69.56216216216217,0.6035972903527215,0.644355244221733
